iter	RMSE
163	308.0494588
164	306.8720275
165	306.7340812
166	305.2911146
167	304.5451258
168	303.6016484
169	302.9108406
170	302.7338672
171	302.0013603
172	301.8343756
173	300.8357311
174	300.72207
175	300.0667021
176	299.6360385
177	299.0096922
178	298.6936422
179	298.2168002
180	297.4803662
181	297.3323226
182	297.2413492
183	296.6295562
184	296.2686184
185	295.9714758
186	295.8883944
187	295.7651878
188	295.6574027
189	295.1403712
190	294.7753756
191	294.641744
192	293.641319
193	293.1262091
194	293.0236669
195	292.9282892
196	292.1885812
197	291.4097008
198	290.8265688
199	290.7274985
200	290.6375538
201	290.4090329
202	289.7182263
203	289.3996875
204	288.9384392
205	288.8592785
206	288.7854892
207	288.7377041
208	288.5540507
209	287.9211224
210	287.3135885
211	286.8768348
212	286.6055911
213	286.2530644
214	286.1894236
215	286.1508976
216	286.003694
217	285.9671816
218	285.4091016
219	285.2755515
220	284.77574
221	284.2551991
222	283.8558102
223	283.4534496
224	283.0500481
225	283.0176958
226	282.4871791
227	282.4588772
228	281.9682187
229	281.9413901
230	281.5157383
231	281.3440006
232	281.3190315
233	281.2116884
234	280.9243061
235	280.6976706
236	280.2395363
237	279.7006941
238	279.2697374
239	278.8699317
240	278.7783646
241	277.9934244
242	277.6286085
243	277.179349
244	276.7970885
245	276.7122598
246	276.3307859
247	275.9812969
248	275.6975011
249	275.4224743
250	275.2483119
251	275.033547
252	274.1992315
253	273.8570883
254	273.2203576
255	272.29392
256	271.8462384
257	271.5221731
258	270.835162
259	270.5961688
260	270.1241364
261	269.9530139
262	269.36297
263	269.1435168
264	268.8808665
265	268.5517604
266	268.2378105
267	267.9438612
268	267.6642983
269	267.0332908
270	266.6375854
271	266.4606303
272	266.1148785
273	265.7229317
274	265.4909044
275	265.2695839
276	264.9786593
277	264.9580881
278	264.7190434
279	264.4333997
280	263.700877
281	263.5217111
282	262.9524349
283	262.5703184
284	262.3289918
285	261.9973164
286	261.7335342
287	261.4002135
288	261.1196083
289	260.915245
290	260.7620485
291	260.4722885
292	260.1245424
293	259.7856761
294	259.5861828
295	259.3058129
296	258.7333692
297	258.3800642
298	258.2376355
299	258.0159341
300	257.7444121
301	257.4345654
302	257.0959117
303	256.9063127
304	256.3825977
305	256.2205067
306	256.0828751
307	255.4756147
308	255.1629347
309	254.9218393
310	254.7657983
311	254.421479
312	253.9255637
313	253.5565227
314	253.3404672
315	253.1673724
316	252.9367571
317	252.6217338
318	252.4625118
319	252.3173212
320	252.1798896
321	251.9778185
322	251.7931237
323	251.6141049
324	251.1959861
325	250.4028813
326	250.1821993
327	249.8068117
328	249.4018194
329	249.1004696
330	248.9625571
331	248.5201513
332	248.1788268
333	248.0319435
334	247.7458215
335	247.451512
336	247.3053747
337	247.0979867
338	246.9696358
339	246.5532391
340	245.7944485
341	245.7572939
342	245.5564404
343	245.1000093
344	244.8221511
345	244.5983508
346	244.0624048
347	243.6225842
348	243.1888596
349	242.5597513
350	242.5149492
351	242.2719547
352	242.134804
353	241.8924276
354	241.8046864
355	241.5208633
356	241.3607157
357	241.0711598
358	240.8847533
359	240.2863781
360	240.1412463
361	239.8899036
362	239.7279446
363	239.4889529
364	239.4143747
365	239.3830847
366	239.0234369
367	238.3624811
368	238.1571723
369	237.7817387
370	237.6445398
371	237.5402658
372	237.050412
373	236.847658
374	236.7803052
375	236.6523877
376	236.5696298
377	236.288908
378	236.049736
379	236.0208693
380	235.7802109
381	235.6826057
382	234.9633297
383	234.9260328
384	234.5667963
385	234.0835365
386	233.7259866
387	233.6678226
388	233.5877208
389	233.2416128
390	232.8846117
391	232.6983357
392	232.5050511
393	232.382078
394	231.9986179
395	231.8205774
396	231.6162863
397	231.4092003
398	231.0964508
399	230.8951175
400	230.6936393
401	230.3278748
402	230.1757893
403	229.5588841
404	229.3570869
405	229.2478366
406	228.6527943
407	228.3589596
408	228.0677315
409	227.8925366
410	227.5962724
411	227.4597412
412	227.1788771
413	226.9278116
414	226.4572501
415	226.2979411
416	226.030205
417	225.8663971
418	225.6802919
419	225.5109432
420	224.8715028
421	224.5915737
422	224.4106281
423	224.2117067
424	223.931995
425	223.37525
426	222.9001049
427	222.6408247
428	222.4640905
429	222.3418449
430	222.1177284
431	221.9163641
432	221.8266062
433	221.7302362
434	221.6005478
435	221.5646808
436	221.3901231
437	221.1781715
438	221.0414211
439	220.8577791
440	220.7493395
441	220.4831067
442	220.4348598
443	220.3912167
444	220.197248
445	220.1740326
446	219.553346
447	219.2751845
448	219.0063719
449	218.857833
450	218.597703
451	218.3461784
452	218.1029737
453	217.8486679
454	217.6052476
455	217.3808342
456	217.201435
457	216.9840585
458	216.8560168
459	216.6455036
460	216.4599829
461	216.2561212
462	216.0588631
463	215.8679674
464	215.6832036
465	215.5564957
466	215.4494783
467	215.3442393
468	215.1651956
469	214.9918536
470	214.9160451
471	214.7693699
472	214.6015697
473	214.4870072
474	214.2582822
475	214.1624768
476	214.0988226
477	213.6681401
478	213.5048149
479	213.2803644
480	213.1069107
481	212.8974604
482	212.727139
483	212.6036186
484	212.5368445
485	212.3560734
486	212.1814372
487	212.0260966
488	212.0023957
489	211.8000753
490	211.6317934
491	211.4004442
492	211.2702031
493	211.1782267
494	211.1050399
495	211.0136208
496	210.4526279
497	210.3790629
498	210.3587042
499	210.1201008
500	209.8831044
501	209.3791095
502	209.2683594
503	209.1647067
504	208.9779541
505	208.8460559
506	208.6466374
507	208.5646543
508	208.4588152
509	208.3187548
510	208.0312359
511	207.9521677
512	207.8903807
513	207.4846942
514	207.2837811
515	207.1466163
516	207.0559731
517	206.985211
518	206.8281097
519	206.8131891
520	206.625655
521	206.6038535
522	206.5264577
523	206.4337396
524	206.3308867
525	206.2087604
526	206.1269206
527	205.9952497
528	205.8137302
529	205.3387779
530	204.8972406
531	204.7937135
532	204.7752132
533	204.6308425
534	204.5688808
535	204.3386353
536	204.2763968
537	204.2113462
538	204.1130716
539	204.0055137
540	203.9901886
541	203.6771101
542	203.5476137
543	203.4983325
544	203.3453873
545	203.0905068
546	203.0767295
547	202.8793176
548	202.7201443
549	202.5544517
550	202.3930972
551	202.2877828
552	202.2735866
553	202.1321297
554	202.0152657
555	201.8556245
556	201.7220081
557	201.6121113
558	201.5034557
559	201.2984861
560	201.1945585
561	201.0556163
562	200.9744935
563	200.9167393
564	200.8446857
565	200.7029299
566	200.6065564
567	200.5078857
568	200.369649
569	200.235864
570	200.169598
571	200.0316938
572	199.9617529
573	199.8382394
574	199.7389083
575	199.5686222
576	199.5298786
577	199.4532233
578	198.9042467
579	198.8227099
580	198.7340402
581	198.5653756
582	198.4989783
583	198.0114202
584	197.8687655
585	197.7015234
586	197.611434
587	197.5027513
588	197.3288179
589	197.2836702
590	197.1657935
591	197.0151821
592	196.9708915
593	196.814838
594	196.7363829
595	196.6435188
596	196.4904329
597	196.3764506
598	196.2708779
599	196.1420481
600	196.1186288
601	195.8013078
602	195.7088698
603	195.7044266
604	195.5506703
605	195.3735481
606	195.2667125
607	195.195337
608	195.0820779
609	194.6486287
610	194.5528924
611	194.4549854
612	194.4174906
613	194.2802084
614	194.1434337
615	194.0395184
616	193.9894145
617	193.852055
618	193.710231
619	193.5796025
620	193.4416958
621	192.9789337
622	192.844
623	192.759872
624	192.6344414
625	192.4724264
626	192.4447284
627	192.2972394
628	192.231763
629	192.054596
630	191.9949596
631	191.9696788
632	191.8632293
633	191.7123957
634	191.6376507
635	191.5161608
636	191.3703215
637	191.2896653
638	191.1953421
639	191.1239336
640	191.0592764
641	190.9836067
642	190.9049332
643	190.7518448
644	190.6954179
645	190.6309056
646	190.5538624
647	190.4496478
648	190.2736362
649	190.1573839
650	190.0700441
651	189.9287402
652	189.8217632
653	189.6815329
654	189.5570205
655	189.4846628
656	189.463693
657	189.41944
658	189.3994338
659	189.3040791
660	189.199994
661	189.0786148
662	188.9744371
663	188.8473486
664	188.7531207
665	188.6338096
666	188.5275759
667	188.4090328
668	187.9654645
669	187.9258495
670	187.8018426
671	187.6632193
672	187.5225579
673	187.4753342
674	187.3456131
675	187.3148714
676	187.1670795
677	187.0585613
678	186.982942
679	186.4984544
680	186.4641654
681	186.3371508
682	186.2714639
683	186.1630649
684	185.9732169
685	185.8451184
686	185.6390718
687	185.5418721
688	185.4958687
689	185.4292172
690	185.4100555
691	185.1752605
692	185.1420036
693	184.8100096
694	184.5539842
695	184.4492737
696	184.3641918
697	184.2524912
698	184.1469712
699	183.835566
700	183.7252919
701	183.6885418
702	183.5858964
703	183.4146236
704	183.3379313
705	183.2198738
706	182.8106261
707	182.4289341
708	182.1910208
709	182.11661
710	181.775505
711	181.6171609
712	181.4593449
713	181.2653991
714	181.1832243
715	181.1554694
716	180.9566371
717	180.8442194
718	180.7553441
719	180.6502468
720	180.5773918
721	180.5055377
722	180.4800385
723	180.4155242
724	180.3109134
725	179.9576711
726	179.890981
727	179.82881
728	179.6912046
729	179.3315962
730	179.1773798
731	179.071695
732	179.0346751
733	178.6411035
734	178.4897057
735	178.2973571
736	178.0328231
737	177.8727389
738	177.7883736
739	177.6724181
740	177.5870023
741	177.502355
742	177.4532774
743	177.4007803
744	177.2505319
745	177.1049376
746	177.0014867
747	176.9035785
748	176.7220237
749	176.3833863
750	176.3201748
751	176.1380606
752	176.0697605
753	175.9230285
754	175.8598501
755	175.7562629
756	175.7298023
757	175.6913985
758	175.6063164
759	175.5046955
760	175.4274081
761	175.10947
762	174.8104184
763	174.7335841
764	174.6580372
765	174.4754714
766	174.3369449
767	174.2530993
768	174.1942276
769	174.1516286
770	174.0610111
771	173.8033096
772	173.6726153
773	173.5906138
774	173.5104774
775	173.443222
776	173.3756301
777	173.2884004
778	173.2241901
779	173.1735211
780	173.1179629
781	173.0328341
782	172.9415601
783	172.8102906
784	172.7322593
785	172.6512628
786	172.5649727
787	172.2584998
788	172.1698911
789	172.1467336
790	172.0524848
791	172.0329911
792	171.9702813
793	171.7857359
794	171.7003519
795	171.6577379
796	171.6488236
797	171.5648922
798	171.5183277
799	171.4399001
800	171.2633809
801	171.241361
802	171.1424954
803	171.0335815
804	170.947218
805	170.8850706
806	170.8091216
807	170.7111741
808	170.6429821
809	170.5251978
810	170.4426272
811	170.2753835
812	170.1909798
813	169.9770068
814	169.9279584
815	169.6133027
816	169.577587
817	169.5322483
818	169.2345577
819	169.1935033
820	169.1687313
821	168.8399681
822	168.7741562
823	168.7051265
824	168.5905814
825	168.5257441
826	168.2914632
827	168.1474548
828	167.8385959
829	167.7756059
830	167.7188124
831	167.6308403
832	167.5710756
833	167.470808
834	167.3905366
835	167.3227796
836	167.2668806
837	167.0051334
838	166.9119362
839	166.808909
840	166.7433402
841	166.6815464
842	166.6371468
843	166.508829
844	166.3981598
845	166.3382629
846	166.2053106
847	166.1381899
848	166.0649281
849	165.9798067
850	165.9001515
851	165.7667488
852	165.614259
853	165.496676
854	165.3597837
855	165.2279084
856	165.2027235
857	165.1284803
858	164.9241609
859	164.8316336
860	164.7957767
861	164.7018819
862	164.4488569
863	164.2928842
864	164.0763144
865	164.0045586
866	163.9499648
867	163.8601244
868	163.7924898
869	163.7560622
870	163.6544679
871	163.5988419
872	163.5403389
873	163.5285673
874	163.3595723
875	163.2713792
876	163.1470717
877	163.1037989
878	163.0221747
879	162.9012482
880	162.83555
881	162.7802068
882	162.7293297
883	162.6539567
884	162.5748313
885	162.5115984
886	162.2666228
887	162.1965557
888	162.1405701
889	162.0571628
890	161.9756919
891	161.8998857
892	161.8444283
893	161.7636567
894	161.6454055
895	161.5973326
896	161.5424013
897	161.2779162
898	161.1750606
899	160.8911349
900	160.85571
901	160.7404822
902	160.707031
903	160.6437713
904	160.4114848
905	160.3747421
906	160.2626
907	160.2046689
908	160.1383802
909	160.1191805
910	160.010104
911	159.9572267
912	159.7560595
913	159.6500049
914	159.5489595
915	159.4853644
916	159.4119939
917	159.3559729
918	159.2353409
919	159.2098267
920	159.1474706
921	159.0691799
922	158.921026
923	158.8617695
924	158.8423157
925	158.7869771
926	158.7555405
927	158.6520477
928	158.5912679
929	158.5615302
930	158.5058004
931	158.4376757
932	158.3554338
933	158.301363
934	158.2245068
935	158.1334886
936	158.0280127
937	157.9926596
938	157.9371618
939	157.9087693
940	157.8672456
941	157.843458
942	157.7220872
943	157.6742952
944	157.635557
945	157.5537165
946	157.5107635
947	157.4260557
948	157.2950998
949	157.195803
950	157.1439979
951	157.0821772
952	156.9673628
953	156.8896887
954	156.8199836
955	156.6728526
956	156.6009696
957	156.5146874
958	156.4270873
959	156.3377617
960	156.16686
961	156.1449174
962	156.0082156
963	155.9376998
964	155.7302367
965	155.6793717
966	155.6405676
967	155.5683926
968	155.4811297
969	155.390625
970	155.3044802
971	155.2197846
972	155.1866007
973	155.1337184
974	154.9892721
975	154.9672151
976	154.8992804
977	154.7963449
978	154.6855518
979	154.6368838
980	154.5519097
981	154.4858461
982	154.3847256
983	154.3579861
984	154.329078
985	154.2642985
986	154.146141
987	154.1169463
988	154.0387058
989	153.9529636
990	153.8690604
991	153.80191
992	153.7270002
993	153.6936081
994	153.5310338
995	153.451341
996	153.406422
997	153.3395338
998	153.3181555
999	153.0898205
